Data as of,Start Date,End Date,Year,Month,Group,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non Hispanic more than one race,Hispanic or Latino,Footnote
05/26/2021,01/01/2020,05/22/2021,2020/2021,,By Total,United States,Count of COVID-19 deaths,351618,86569,6533,22313,1057,1888,107105,
05/26/2021,01/01/2020,05/22/2021,2020/2021,,By Total,United States,Distribution of COVID-19 deaths (%),60.7,15,1.1,3.9,0.2,0.3,18.5,
05/26/2021,01/01/2020,05/22/2021,2020/2021,,By Total,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
05/26/2021,01/01/2020,05/22/2021,2020/2021,,By Total,United States,Weighted distribution of population (%),39.7,13.3,0.4,10.1,0.2,2.1,34.4,
05/26/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Count of COVID-19 deaths,232136,61224,4602,13485,692,1140,69323,
05/26/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Distribution of COVID-19 deaths (%),60.4,15.9,1.2,3.5,0.2,0.3,18,
05/26/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
05/26/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Weighted distribution of population (%),40.8,14.2,0.4,9.7,0.2,2,32.8,
05/26/2021,01/01/2021,05/22/2021,2021,,By Year,United States,Count of COVID-19 deaths,119482,25345,1931,8828,365,748,37782,
05/26/2021,01/01/2021,05/22/2021,2021,,By Year,United States,Distribution of COVID-19 deaths (%),61.3,13,1,4.5,0.2,0.4,19.4,
05/26/2021,01/01/2021,05/22/2021,2021,,By Year,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
05/26/2021,01/01/2021,05/22/2021,2021,,By Year,United States,Weighted distribution of population (%),37.9,11.8,0.4,10.7,0.2,2.1,36.9,
05/26/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Count of COVID-19 deaths,3,3,0,0,0,0,1,
05/26/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Distribution of COVID-19 deaths (%),42.9,42.9,0,0,0,0,14.3,
05/26/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
05/26/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Weighted distribution of population (%),31.3,10,0.3,13.1,0.2,2.2,43,
05/26/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Count of COVID-19 deaths,13,1,0,1,0,0,3,
05/26/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Distribution of COVID-19 deaths (%),72.2,5.6,0,5.6,0,0,16.7,
05/26/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
05/26/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Weighted distribution of population (%),51.6,8.8,0.4,18.2,0.5,3.3,17.2,
05/26/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Count of COVID-19 deaths,3237,2172,30,444,6,19,1122,
05/26/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Distribution of COVID-19 deaths (%),45.5,30.5,0.4,6.2,0.1,0.3,15.8,
05/26/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
05/26/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Weighted distribution of population (%),40.3,18.9,0.3,12.3,0.1,2,26.1,
05/26/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Count of COVID-19 deaths,33134,16357,298,3460,41,159,11064,
05/26/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Distribution of COVID-19 deaths (%),50.7,25,0.5,5.3,0.1,0.2,16.9,
05/26/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
05/26/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Weighted distribution of population (%),41.9,18.1,0.2,11.1,0.1,1.9,26.6,
05/26/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Count of COVID-19 deaths,21761,7830,438,1642,38,89,6225,
05/26/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Distribution of COVID-19 deaths (%),56.9,20.5,1.1,4.3,0.1,0.2,16.3,
